ID,year,d180
x2b,220,27.395
x2b,221,29.543
x2b,222,30.065
x2b,223,29.476
x2b,224,29.093
x2b,225,29.651
x2b,226,29.626
x2b,227,29.13
x2b,228,28.576
x2b,229,30.785
x2b,230,28.522
x2b,231,28.538
x2b,232,28.335
x2b,233,27.485
x2b,234,29.634
x2b,235,28.271
x2b,236,29.14
x2b,237,30.292
x2b,238,27.569
x2b,239,28.279
x2b,240,29.144
x2b,241,28.964
x2b,242,35.028
x2b,243,26.92
x2b,244,28.29
x2b,245,26.78
x2b,246,27.93
x2b,247,27.801
x2b,248,28.371
x2b,249,27.842
x2b,250,28.01
x2b,251,27.021
x2b,252,29.593
x2b,253,27.082
x2b,254,26.831
x2b,255,29.225
x2b,256,28.272
x2b,257,26.566
x2b,258,28.284
x2b,259,
x2b,260,29.379
x2b,261,28.399
x2b,262,28.367
x2b,263,28.329
x2b,264,29.361
x2b,265,29.233
x2b,266,31.2
x2b,267,29.14
x2b,268,29.637
x2b,269,33.141
x2b,270,29.02
x2b,271,30.43
x2b,272,31.203
x2b,273,28.408
x2b,274,30.17
x2b,275,29.234
x2b,276,29.462
x2b,277,29.515
x2b,278,29.22
x2b,279,28.21
x2b,280,29.034
x2b,281,27.87
x2b,282,30.835
x2b,283,28.568
x2b,284,26.98
x2b,285,27.449
x2b,286,28.839
x2b,287,28.761
x2b,288,26.935
x2b,289,31.227
x2b,290,28.919
x2b,291,28.728
x2b,292,30.002
x2b,293,29.054
x2b,294,28.889
x2b,295,28.524
x2b,296,27.941
x2b,297,29.725
x2b,298,30.996
x2b,299,29.21
x2b,300,28.834
x2b,301,27.675
x2b,302,28.047
x2b,303,27.281
x2b,304,28.117
x2b,305,28.972
x2b,306,28.831
x2b,307,
x2b,308,
x2b,309,28.002
x2b,310,27.608
x2b,311,28.796
x2b,312,28.072
x2b,313,28.257
x2b,314,26.945
x2b,315,28.059
x2b,316,28.289
x2b,317,28.925
x2b,318,29.038
x2b,319,28.313
x2b,320,27.042
x2b,321,28.07
x2b,322,27.249
x2b,323,29.164
x2b,324,28.772
x2b,325,28.39
x2b,326,28.425
x2b,327,28.767
x2b,328,29.261
x2b,329,27.888
x2b,330,29.016
x2b,331,29.054
x2b,332,29.941
x2b,333,27.194
x2b,334,27.956
x2b,335,27.761
x2b,336,28.925
x2b,337,29.17
x2b,338,27.663
x2b,339,
x2b,340,29.326
x2b,341,28.034
x2b,342,28.065
x2b,343,27.896
x2b,344,27.867
x2b,345,28.025
x2b,346,28.179
x2b,347,28.551
x2b,348,29.071
x2b,349,27.331
x2b,350,28.058
x2b2,200,28.232
x2b2,201,27.464
x2b2,202,28.451
x2b2,203,27.883
x2b2,204,29.845
x2b2,205,28.089
x2b2,206,29.299
x2b2,207,28.327
x2b2,208,27.454
x2b2,209,29.378
x2b2,210,28.987
x2b2,211,28.897
x2b2,212,28.573
x2b2,213,28.136
x2b2,214,26.868
x2b2,215,28.125
x2b2,216,26.993
x2b2,217,27.339
x2b2,218,26.758
x2b2,219,26.35
x2b2,220,28.029
x2b2,221,27.896
x2b2,222,28.407
x2b2,223,28.998
x2b2,224,27.71
x2b2,225,29.093
x2b2,226,26.875
x2b2,227,29.152
x2b2,228,28.399
x2b2,229,30.633
x2b2,230,28.842
x2b2,231,28.324
x2b2,232,28.652
x2b2,233,27.946
x2b2,234,29.128
x2b2,235,27.059
x2b2,236,28.549
x2b2,237,30.106
x2b2,238,27.935
x2b2,239,28.23
x2b2,240,28.022
x2b2,241,28.827
x2b2,242,29.703
x2b2,243,26.7
x2b2,244,27.542
x2b2,245,27.56
x2b2,246,27.71
x2b2,247,26.653
x2b2,248,28.629
x2b2,249,28.757
x2b2,250,26.308
x2b2,251,26.906
x2b2,252,26.784
x2b2,253,27.48
x2b2,254,27.024
x2b2,255,27.216
x2b2,256,27.418
x2b2,257,26.56
x2b2,258,27.504
x2b2,259,27.454
x2b2,260,27.948
